epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3784.02,0.84202,1.5089,0.62335,1.10261,0.94397,0.90745,0.96436,0.7512,0.94132,0.90854,0.96111,0.69604,0.82514,1.37543,0.48403,1.1007,0.0067,0.0067,0.0067
102,3839.74,0.85109,1.52347,0.62814,1.10586,0.93752,0.90734,0.96478,0.75215,0.94513,0.90955,0.96465,0.69671,0.81588,1.36775,0.48715,1.09631,0.006667,0.006667,0.006667
103,3894.93,0.84064,1.51955,0.63077,1.09971,0.95064,0.90034,0.96608,0.7562,0.95427,0.90133,0.96387,0.69941,0.80254,1.35012,0.46858,1.08353,0.006634,0.006634,0.006634
104,3950.39,0.84336,1.51653,0.62502,1.10482,0.93509,0.91497,0.96799,0.75574,0.93753,0.91504,0.96756,0.70084,0.80663,1.36404,0.47568,1.08387,0.006601,0.006601,0.006601
105,4005.63,0.83063,1.48873,0.60733,1.09461,0.94616,0.90091,0.96335,0.75135,0.9467,0.90142,0.961,0.69578,0.80661,1.3687,0.47943,1.08834,0.006568,0.006568,0.006568
106,4061.02,0.83784,1.50144,0.62757,1.10387,0.93713,0.91362,0.96643,0.75885,0.94034,0.91308,0.96635,0.70284,0.80883,1.34701,0.47711,1.08522,0.006535,0.006535,0.006535
107,4116.32,0.8286,1.49799,0.60812,1.09636,0.94307,0.91006,0.96697,0.76009,0.94907,0.90903,0.96528,0.70535,0.80024,1.34734,0.46963,1.07786,0.006502,0.006502,0.006502
108,4171.51,0.82606,1.50214,0.61356,1.09224,0.94337,0.8999,0.96632,0.76497,0.94674,0.90142,0.96546,0.70617,0.78409,1.33977,0.47112,1.07155,0.006469,0.006469,0.006469
109,4226.75,0.83091,1.4992,0.61257,1.08819,0.94447,0.91514,0.96736,0.76676,0.94696,0.91628,0.96745,0.71139,0.79052,1.33137,0.46574,1.07947,0.006436,0.006436,0.006436
110,4282.48,0.83206,1.49912,0.61812,1.09425,0.95199,0.90549,0.97031,0.76877,0.95527,0.90701,0.96938,0.71278,0.78901,1.33239,0.45841,1.07839,0.006403,0.006403,0.006403
111,4338.11,0.8232,1.49897,0.5942,1.0881,0.95359,0.90824,0.96709,0.76617,0.95319,0.91052,0.96721,0.71179,0.7839,1.32757,0.4598,1.06962,0.00637,0.00637,0.00637
112,4393.27,0.82259,1.4775,0.60428,1.09168,0.95593,0.91481,0.97049,0.76797,0.96061,0.91463,0.96885,0.70864,0.79058,1.32356,0.45609,1.07355,0.006337,0.006337,0.006337
113,4448.4,0.81338,1.47225,0.59371,1.08204,0.93703,0.92175,0.96932,0.76926,0.93858,0.92327,0.97006,0.71043,0.79014,1.32317,0.45275,1.07328,0.006304,0.006304,0.006304
114,4503.96,0.81302,1.48975,0.60001,1.08128,0.95038,0.91717,0.97056,0.76888,0.95144,0.91819,0.97127,0.70789,0.78784,1.31711,0.45463,1.07671,0.006271,0.006271,0.006271
