epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1003.81,1.10423,1.90767,0.97516,1.28022,0.80782,0.77746,0.85829,0.57038,0.83038,0.76626,0.85819,0.54328,1.1545,1.81692,0.86883,1.38272,0.009043,0.009043,0.009043
31,1036.12,1.0873,1.90094,0.95283,1.27433,0.83431,0.76758,0.85712,0.57409,0.85762,0.74949,0.85517,0.53496,1.15447,1.83001,0.86186,1.38321,0.00901,0.00901,0.00901
32,1068.92,1.09115,1.88105,0.94505,1.27772,0.85183,0.76242,0.86886,0.59159,0.84996,0.77388,0.8715,0.56463,1.1144,1.77315,0.82566,1.34402,0.008977,0.008977,0.008977
33,1120.72,1.07866,1.89563,0.93876,1.26564,0.83968,0.73189,0.84816,0.56955,0.83279,0.75162,0.84781,0.53956,1.12886,1.82098,0.88208,1.35867,0.008944,0.008944,0.008944
34,1176.55,1.07233,1.87911,0.92775,1.26002,0.83401,0.77287,0.86186,0.58972,0.84284,0.7749,0.86423,0.54814,1.10387,1.83813,0.84287,1.34718,0.008911,0.008911,0.008911
35,1232.46,1.06163,1.86075,0.92555,1.25862,0.85527,0.75671,0.87534,0.60631,0.85461,0.77388,0.88003,0.57233,1.08377,1.74336,0.83182,1.33065,0.008878,0.008878,0.008878
36,1288.78,1.06449,1.84909,0.91466,1.25714,0.84465,0.77693,0.88032,0.60331,0.85381,0.78404,0.87936,0.572,1.09813,1.77841,0.81065,1.33716,0.008845,0.008845,0.008845
37,1344.65,1.05425,1.83844,0.89594,1.24893,0.85067,0.77864,0.87211,0.60259,0.84976,0.77693,0.86948,0.5601,1.09154,1.80245,0.81676,1.32253,0.008812,0.008812,0.008812
38,1400.76,1.05749,1.83305,0.90075,1.25067,0.85596,0.79827,0.88384,0.61156,0.85272,0.80608,0.88521,0.57511,1.07569,1.72309,0.78772,1.31295,0.008779,0.008779,0.008779
39,1457.14,1.04161,1.8206,0.88269,1.23805,0.86106,0.78728,0.88803,0.61918,0.8693,0.78811,0.88789,0.58086,1.07479,1.69442,0.76965,1.30839,0.008746,0.008746,0.008746
40,1512.76,1.03683,1.81052,0.87161,1.23945,0.85991,0.78659,0.89032,0.62201,0.84817,0.79478,0.888,0.581,1.06406,1.70992,0.76881,1.29844,0.008713,0.008713,0.008713
41,1568.28,1.05024,1.80989,0.8678,1.2419,0.84939,0.81453,0.89616,0.62021,0.86567,0.80553,0.89305,0.5817,1.06674,1.73178,0.75478,1.2974,0.00868,0.00868,0.00868
42,1623.44,1.03128,1.78734,0.87147,1.23286,0.86289,0.79726,0.89013,0.6268,0.86505,0.80285,0.89319,0.58705,1.05978,1.7108,0.78909,1.30419,0.008647,0.008647,0.008647
43,1678.49,1.02982,1.81108,0.86299,1.23448,0.86886,0.8125,0.90047,0.62598,0.86995,0.81352,0.8997,0.59253,1.05404,1.67895,0.74725,1.2842,0.008614,0.008614,0.008614
44,1733.81,1.03069,1.79704,0.84668,1.2292,0.87746,0.80589,0.90226,0.63171,0.88059,0.80691,0.89908,0.59463,1.06573,1.70137,0.74318,1.29519,0.008581,0.008581,0.008581
45,1789.29,1.02047,1.79021,0.84834,1.22333,0.8846,0.80335,0.89288,0.62157,0.88847,0.8055,0.89104,0.57814,1.05191,1.74821,0.75844,1.28633,0.008548,0.008548,0.008548
46,1844.73,1.00333,1.77986,0.83632,1.21765,0.8774,0.78911,0.88133,0.62001,0.88651,0.79065,0.88682,0.58122,1.05314,1.72886,0.75121,1.29004,0.008515,0.008515,0.008515
47,1900.44,1.0167,1.77638,0.83625,1.21465,0.88302,0.80285,0.90376,0.64005,0.88664,0.80386,0.9018,0.59931,1.04344,1.69332,0.71593,1.2823,0.008482,0.008482,0.008482
48,1935.46,0.99725,1.75794,0.8266,1.21379,0.87034,0.81521,0.90562,0.64581,0.87936,0.81758,0.9041,0.60597,1.03141,1.65916,0.71818,1.26841,0.008449,0.008449,0.008449
49,1968.5,1.00331,1.75554,0.82775,1.20753,0.88061,0.81703,0.90662,0.64326,0.88116,0.82132,0.90518,0.60119,1.02831,1.65329,0.71909,1.27669,0.008416,0.008416,0.008416
