epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,960.436,1.06178,1.83449,0.92333,1.24582,0.83531,0.7732,0.8702,0.59898,0.83277,0.78201,0.86825,0.5588,1.10025,1.77057,0.82536,1.34168,0.009043,0.009043,0.009043
31,991.928,1.04124,1.81962,0.89244,1.23699,0.88698,0.77366,0.88919,0.61504,0.89332,0.76982,0.88544,0.57293,1.07226,1.75728,0.78139,1.30908,0.00901,0.00901,0.00901
32,1023.47,1.04314,1.80848,0.89399,1.23782,0.87138,0.76771,0.87056,0.59768,0.87047,0.77515,0.87145,0.5657,1.10088,1.79589,0.82093,1.32733,0.008977,0.008977,0.008977
33,1054.85,1.03639,1.81602,0.88768,1.2324,0.873,0.79986,0.89338,0.62261,0.88156,0.80488,0.89537,0.58856,1.05227,1.68567,0.78068,1.29417,0.008944,0.008944,0.008944
34,1086.54,1.03755,1.79483,0.87951,1.2329,0.85396,0.80081,0.89223,0.61108,0.86348,0.80349,0.89518,0.5802,1.07428,1.70922,0.78915,1.30888,0.008911,0.008911,0.008911
35,1118.07,1.02768,1.78701,0.88068,1.22965,0.8629,0.78709,0.89282,0.62153,0.87994,0.78659,0.89402,0.58645,1.06051,1.70893,0.78167,1.30575,0.008878,0.008878,0.008878
36,1149.25,1.01599,1.77879,0.86672,1.21952,0.85062,0.8125,0.89365,0.62112,0.84855,0.81994,0.89586,0.58168,1.0533,1.72573,0.76834,1.30106,0.008845,0.008845,0.008845
37,1181.29,1.01885,1.77038,0.86298,1.22141,0.85194,0.8125,0.89371,0.63016,0.87633,0.8064,0.8982,0.59183,1.03704,1.67631,0.75923,1.27525,0.008812,0.008812,0.008812
38,1212.35,1.01138,1.74616,0.8458,1.21406,0.86538,0.81007,0.8946,0.63121,0.87062,0.81722,0.89921,0.58414,1.03546,1.70995,0.77289,1.2748,0.008779,0.008779,0.008779
39,1243.91,1.00009,1.75228,0.83516,1.20809,0.8785,0.79722,0.90023,0.62386,0.88349,0.80132,0.90227,0.59146,1.05501,1.6556,0.74678,1.28459,0.008746,0.008746,0.008746
40,1275.41,0.99821,1.74014,0.8309,1.20962,0.86045,0.81148,0.90071,0.63159,0.86437,0.81285,0.89852,0.59781,1.03361,1.64014,0.7416,1.26309,0.008713,0.008713,0.008713
41,1307.51,0.99779,1.73585,0.81646,1.20471,0.88768,0.82368,0.91566,0.66072,0.88738,0.82477,0.9162,0.62026,0.99392,1.59981,0.68422,1.22861,0.00868,0.00868,0.00868
42,1339.21,0.99042,1.72848,0.82317,1.19874,0.87517,0.82652,0.90927,0.64978,0.8818,0.83232,0.91447,0.61203,1.01851,1.61714,0.71636,1.25782,0.008647,0.008647,0.008647
43,1371.02,0.98832,1.73043,0.81533,1.20039,0.87306,0.81961,0.90072,0.63669,0.88175,0.81839,0.90208,0.60144,1.03096,1.63177,0.72913,1.27425,0.008614,0.008614,0.008614
44,1402.99,0.98061,1.7205,0.80462,1.19488,0.88651,0.82954,0.91999,0.66151,0.89212,0.83333,0.9199,0.6243,0.99077,1.59262,0.68076,1.23531,0.008581,0.008581,0.008581
45,1436.8,0.9726,1.71041,0.79588,1.18805,0.89257,0.84012,0.9198,0.66453,0.89346,0.84096,0.91784,0.61669,0.99507,1.60514,0.6815,1.24684,0.008548,0.008548,0.008548
46,1469.34,0.95841,1.695,0.78354,1.18104,0.88264,0.84553,0.92211,0.65879,0.88264,0.84553,0.92113,0.61935,0.99994,1.60534,0.67137,1.24526,0.008515,0.008515,0.008515
47,1501.96,0.97246,1.7024,0.79226,1.18281,0.89098,0.85965,0.92915,0.67522,0.89537,0.85722,0.92888,0.63292,0.98259,1.5686,0.65166,1.22348,0.008482,0.008482,0.008482
48,1534.37,0.9608,1.68069,0.77272,1.18486,0.87909,0.84972,0.92694,0.66829,0.87909,0.84972,0.92268,0.62203,0.97675,1.57442,0.66239,1.22083,0.008449,0.008449,0.008449
49,1566.26,0.95462,1.68664,0.77234,1.17492,0.90201,0.84654,0.92966,0.67674,0.9057,0.84705,0.92902,0.62779,0.96822,1.55088,0.65094,1.22261,0.008416,0.008416,0.008416
50,1598.34,0.95648,1.66675,0.77352,1.17943,0.86758,0.82562,0.90243,0.64253,0.87245,0.81707,0.89747,0.59728,1.00908,1.63604,0.70554,1.25188,0.008383,0.008383,0.008383
51,1630.41,0.96597,1.68658,0.77665,1.17921,0.8928,0.84641,0.92881,0.68088,0.89388,0.84743,0.92609,0.6305,0.95778,1.58466,0.64464,1.20183,0.00835,0.00835,0.00835
52,1662.49,0.94106,1.65693,0.75678,1.1656,0.89027,0.8562,0.92517,0.67704,0.89914,0.8516,0.92535,0.6329,0.95367,1.54111,0.6478,1.20377,0.008317,0.008317,0.008317
53,1694.57,0.93505,1.63245,0.7452,1.15996,0.91204,0.84248,0.93586,0.68416,0.91423,0.84096,0.93395,0.6405,0.95789,1.53888,0.62865,1.20309,0.008284,0.008284,0.008284
54,1726.36,0.94853,1.64783,0.75295,1.16754,0.9011,0.86382,0.94128,0.69123,0.90507,0.86716,0.94162,0.64376,0.94113,1.52251,0.61451,1.19809,0.008251,0.008251,0.008251
55,1758.38,0.92443,1.61501,0.72839,1.1506,0.91365,0.86535,0.94493,0.70085,0.91579,0.86738,0.94616,0.65504,0.93261,1.498,0.59537,1.18756,0.008218,0.008218,0.008218
56,1790.54,0.92488,1.60641,0.71457,1.15351,0.90339,0.87398,0.93743,0.69037,0.90477,0.875,0.93499,0.64465,0.93941,1.51219,0.60207,1.19751,0.008185,0.008185,0.008185
