epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1340.96,1.09423,1.90836,0.95908,1.29566,0.84508,0.74289,0.84755,0.57168,0.85678,0.7478,0.84568,0.53134,1.13169,1.90075,0.87676,1.38498,0.0018086,0.0018086,0.0018086
31,1384.65,1.08163,1.89145,0.93333,1.2847,0.83103,0.73577,0.84048,0.56562,0.82685,0.73766,0.83342,0.5252,1.17136,1.89297,0.89747,1.40512,0.001802,0.001802,0.001802
32,1428.05,1.08423,1.89029,0.94714,1.29249,0.83213,0.73799,0.83964,0.56752,0.83248,0.74491,0.83957,0.5334,1.15875,1.89337,0.89301,1.39579,0.0017954,0.0017954,0.0017954
33,1471.79,1.0765,1.8898,0.92749,1.27772,0.83672,0.73018,0.84039,0.55176,0.84166,0.73628,0.83957,0.52216,1.18846,1.88943,0.90426,1.42049,0.0017888,0.0017888,0.0017888
34,1515.29,1.06426,1.88202,0.93404,1.27174,0.83186,0.73323,0.83456,0.55343,0.83918,0.73882,0.83892,0.51867,1.18918,1.90965,0.90412,1.43378,0.0017822,0.0017822,0.0017822
35,1558.89,1.06428,1.86648,0.90959,1.27753,0.85354,0.70884,0.82311,0.55333,0.86328,0.71226,0.82461,0.51838,1.18132,1.89828,0.93351,1.4247,0.0017756,0.0017756,0.0017756
36,1602.57,1.06749,1.86995,0.92579,1.27596,0.86211,0.76881,0.87432,0.61144,0.86211,0.76881,0.87515,0.57133,1.08299,1.75766,0.79326,1.33223,0.001769,0.001769,0.001769
37,1646.38,1.04892,1.84153,0.90895,1.26497,0.84425,0.7622,0.86048,0.59338,0.84994,0.76321,0.85831,0.55558,1.12346,1.76283,0.84622,1.37233,0.0017624,0.0017624,0.0017624
38,1689.86,1.04831,1.82704,0.89321,1.2585,0.82278,0.78558,0.86304,0.59171,0.83203,0.78455,0.86532,0.55804,1.11915,1.73632,0.81625,1.37482,0.0017558,0.0017558,0.0017558
39,1733.68,1.03447,1.84101,0.89049,1.25355,0.80261,0.7439,0.81144,0.53051,0.79987,0.74136,0.80632,0.49378,1.19751,1.98416,0.92694,1.43856,0.0017492,0.0017492,0.0017492
40,1777.51,1.04378,1.82413,0.87083,1.2626,0.83375,0.75431,0.85445,0.574,0.83312,0.76829,0.8593,0.53607,1.15498,1.85435,0.86729,1.38548,0.0017426,0.0017426,0.0017426
41,1820.97,1.0397,1.81646,0.87689,1.25864,0.86606,0.77998,0.87565,0.60813,0.86719,0.781,0.87252,0.5738,1.08445,1.73874,0.78719,1.33194,0.001736,0.001736,0.001736
42,1865.32,1.03577,1.80709,0.86508,1.25261,0.8681,0.79925,0.89386,0.61618,0.86725,0.80334,0.89039,0.57511,1.09164,1.74077,0.75011,1.34892,0.0017294,0.0017294,0.0017294
43,1909.86,1.01125,1.79327,0.84826,1.24114,0.85312,0.77795,0.87991,0.60878,0.86475,0.77972,0.88171,0.57342,1.0934,1.74112,0.78241,1.34604,0.0017228,0.0017228,0.0017228
44,1953.69,1.01255,1.78572,0.83829,1.23687,0.86463,0.77242,0.87942,0.61866,0.87677,0.78094,0.88068,0.57651,1.06786,1.76052,0.75959,1.31532,0.0017162,0.0017162,0.0017162
45,1997.52,1.00483,1.78125,0.82278,1.23426,0.86813,0.78277,0.88607,0.62843,0.8725,0.78235,0.88303,0.58409,1.04776,1.68134,0.74545,1.30076,0.0017096,0.0017096,0.0017096
46,2041.67,0.98595,1.77799,0.82277,1.22599,0.87307,0.79167,0.88807,0.61875,0.87835,0.79421,0.88621,0.57627,1.06887,1.73053,0.77627,1.32881,0.001703,0.001703,0.001703
47,2087.32,1.01352,1.78499,0.83682,1.2281,0.88651,0.78709,0.89574,0.63693,0.89164,0.79268,0.89468,0.58799,1.05079,1.72864,0.72559,1.29986,0.0016964,0.0016964,0.0016964
48,2133.36,0.98857,1.75373,0.81439,1.22311,0.86733,0.7937,0.89084,0.6333,0.87677,0.80234,0.89331,0.58999,1.04634,1.71041,0.74544,1.2999,0.0016898,0.0016898,0.0016898
49,2179.08,1.00425,1.75909,0.82125,1.22426,0.84946,0.82165,0.90318,0.64794,0.85097,0.83181,0.90169,0.60406,1.02248,1.64472,0.69985,1.27639,0.0016832,0.0016832,0.0016832
50,2223.59,0.98141,1.72633,0.80175,1.21349,0.86946,0.79675,0.89392,0.63691,0.86262,0.80539,0.89141,0.59304,1.04595,1.68994,0.73306,1.29189,0.0016766,0.0016766,0.0016766
51,2270.51,0.99977,1.76537,0.83436,1.22414,0.87447,0.80704,0.89364,0.6355,0.87559,0.80823,0.89548,0.59043,1.04494,1.70447,0.72691,1.29288,0.00167,0.00167,0.00167
52,2319.18,0.95618,1.70553,0.7839,1.19641,0.89506,0.79065,0.89976,0.64604,0.90342,0.79268,0.89699,0.60388,1.0176,1.63674,0.70488,1.27075,0.0016634,0.0016634,0.0016634
53,2367.12,0.96874,1.70512,0.78305,1.20114,0.89744,0.7998,0.90496,0.64832,0.90639,0.79213,0.90282,0.60349,1.02041,1.65689,0.69211,1.28334,0.0016568,0.0016568,0.0016568
