epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1069.15,1.11676,1.95062,0.99615,1.30019,0.82387,0.6997,0.80986,0.53129,0.82643,0.70889,0.81108,0.49029,1.2052,2.05371,0.97707,1.44678,0.0018086,0.0018086,0.0018086
31,1105.27,1.09784,1.9319,0.95962,1.28767,0.83961,0.75011,0.85917,0.57335,0.8249,0.76321,0.85344,0.52537,1.15429,1.90721,0.87587,1.36799,0.001802,0.001802,0.001802
32,1140.93,1.08919,1.91109,0.96228,1.28636,0.81485,0.75811,0.84398,0.56946,0.82356,0.76677,0.84822,0.53947,1.15142,1.8632,0.87065,1.39266,0.0017954,0.0017954,0.0017954
33,1177.37,1.09232,1.91501,0.9466,1.28173,0.8174,0.76677,0.8491,0.56162,0.81829,0.76423,0.84307,0.52889,1.17202,1.85076,0.9034,1.41241,0.0017888,0.0017888,0.0017888
34,1214.15,1.1029,1.92229,0.95483,1.28871,0.82066,0.73478,0.82955,0.54713,0.83211,0.74289,0.83374,0.52136,1.19935,1.90381,0.92421,1.43018,0.0017822,0.0017822,0.0017822
35,1249.93,1.08614,1.90681,0.95044,1.28128,0.83512,0.73352,0.84944,0.5613,0.84739,0.73638,0.84842,0.52886,1.18449,1.89013,0.87546,1.41993,0.0017756,0.0017756,0.0017756
36,1283.71,1.08137,1.89141,0.94175,1.28054,0.85238,0.76287,0.86158,0.58117,0.86431,0.77354,0.86832,0.55636,1.1327,1.79942,0.83296,1.37902,0.001769,0.001769,0.001769
37,1317.34,1.08116,1.88848,0.93031,1.27661,0.79921,0.73831,0.82728,0.55475,0.80415,0.7312,0.81897,0.50166,1.17517,1.95088,0.9369,1.42591,0.0017624,0.0017624,0.0017624
38,1350.65,1.07601,1.88198,0.92709,1.27162,0.83734,0.77427,0.86362,0.58343,0.84879,0.76725,0.865,0.54721,1.14299,1.81133,0.85562,1.36633,0.0017558,0.0017558,0.0017558
39,1384.05,1.05546,1.86806,0.90689,1.25717,0.84348,0.76778,0.86845,0.60089,0.83477,0.78299,0.86781,0.56249,1.08849,1.76069,0.82589,1.33578,0.0017492,0.0017492,0.0017492
40,1417.75,1.0679,1.86277,0.90917,1.27164,0.85319,0.75305,0.85944,0.57828,0.85014,0.76474,0.86053,0.53973,1.13723,1.87792,0.8544,1.37782,0.0017426,0.0017426,0.0017426
