epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1341.36,1.0239,1.77017,0.85063,1.23679,0.8616,0.79675,0.89823,0.62745,0.86078,0.80115,0.8918,0.58466,1.05794,1.71823,0.74639,1.30321,0.009043,0.009043,0.009043
31,1386.88,1.01612,1.75735,0.82154,1.23146,0.86393,0.79167,0.88807,0.61668,0.87037,0.80183,0.89244,0.57675,1.09762,1.72578,0.76477,1.3432,0.00901,0.00901,0.00901
32,1431.6,1.01705,1.75336,0.82502,1.23096,0.85497,0.79678,0.88404,0.60528,0.85769,0.79932,0.88571,0.56698,1.10299,1.77677,0.80744,1.34426,0.008977,0.008977,0.008977
33,1475.66,1.00085,1.75129,0.81141,1.21852,0.88803,0.80742,0.90564,0.64449,0.89154,0.80894,0.90134,0.60244,1.02487,1.66386,0.73278,1.27785,0.008944,0.008944,0.008944
34,1519.06,1.00598,1.75081,0.80691,1.22046,0.87294,0.81402,0.90233,0.64222,0.87457,0.81555,0.90329,0.60077,1.02659,1.64799,0.73235,1.27984,0.008911,0.008911,0.008911
35,1563.1,0.9888,1.71937,0.80209,1.21447,0.874,0.81773,0.90521,0.63952,0.87462,0.82419,0.90593,0.5987,1.0413,1.65358,0.73062,1.29782,0.008878,0.008878,0.008878
36,1608.11,0.98768,1.71006,0.79415,1.21001,0.87653,0.82724,0.91507,0.65684,0.87913,0.82788,0.9149,0.60909,1.00472,1.63994,0.6975,1.26509,0.008845,0.008845,0.008845
37,1653.56,0.97869,1.70407,0.78375,1.20362,0.87162,0.82114,0.89865,0.64033,0.88158,0.82842,0.90553,0.59768,1.03167,1.65511,0.71634,1.28461,0.008812,0.008812,0.008812
38,1698.45,0.97286,1.68001,0.76571,1.19922,0.91718,0.81027,0.91518,0.65362,0.92085,0.81352,0.91571,0.61398,0.99943,1.60108,0.695,1.2557,0.008779,0.008779,0.008779
39,1742.61,0.95481,1.67067,0.75577,1.19132,0.88378,0.84756,0.92271,0.66538,0.8852,0.8501,0.92031,0.61979,0.99305,1.62067,0.64705,1.2502,0.008746,0.008746,0.008746
40,1787.54,0.9529,1.6701,0.74952,1.1927,0.88495,0.84421,0.92086,0.66834,0.88812,0.84706,0.92266,0.6241,0.99234,1.59253,0.65604,1.24593,0.008713,0.008713,0.008713
41,1830.46,0.95223,1.6536,0.73854,1.186,0.90819,0.81935,0.9146,0.65893,0.90633,0.82601,0.91269,0.61642,0.9918,1.61281,0.6738,1.24374,0.00868,0.00868,0.00868
42,1874.84,0.94652,1.6407,0.72801,1.18083,0.89531,0.84909,0.93223,0.67729,0.89976,0.85315,0.93412,0.63458,0.96835,1.54019,0.63912,1.23474,0.008647,0.008647,0.008647
43,1918.96,0.9437,1.65205,0.73627,1.18095,0.87536,0.84604,0.9241,0.66655,0.88357,0.84959,0.92815,0.62945,0.99259,1.55272,0.64974,1.26343,0.008614,0.008614,0.008614
44,1962.41,0.93364,1.63461,0.72532,1.17282,0.89857,0.85532,0.93071,0.68215,0.90279,0.86026,0.93369,0.63669,0.97579,1.544,0.62783,1.23952,0.008581,0.008581,0.008581
45,2006.12,0.9253,1.63335,0.71608,1.16807,0.8957,0.85965,0.93284,0.68729,0.89718,0.86012,0.93328,0.64042,0.94755,1.52207,0.61517,1.21362,0.008548,0.008548,0.008548
46,2049.71,0.91296,1.6298,0.69835,1.16095,0.89842,0.86585,0.93764,0.68697,0.90091,0.86389,0.93543,0.64657,0.9573,1.52728,0.60924,1.22851,0.008515,0.008515,0.008515
47,2092.82,0.92398,1.61519,0.69767,1.16016,0.91013,0.85264,0.93385,0.68904,0.91355,0.85569,0.93472,0.64346,0.95035,1.51991,0.61352,1.21608,0.008482,0.008482,0.008482
48,2136.82,0.90702,1.60023,0.69954,1.161,0.90748,0.8628,0.93993,0.69384,0.91064,0.85925,0.9389,0.64745,0.93197,1.52268,0.59951,1.18711,0.008449,0.008449,0.008449
49,2179.63,0.90597,1.5929,0.68812,1.14938,0.91741,0.86356,0.94246,0.70255,0.92011,0.8661,0.94311,0.65602,0.91676,1.48119,0.58362,1.18937,0.008416,0.008416,0.008416
50,2222.53,0.9034,1.576,0.68867,1.15082,0.9274,0.83486,0.93422,0.69712,0.90162,0.85518,0.93468,0.64693,0.93266,1.50769,0.59467,1.19653,0.008383,0.008383,0.008383
51,2266.46,0.90591,1.59172,0.69476,1.1542,0.91699,0.85163,0.93847,0.7024,0.92476,0.84933,0.93931,0.65685,0.91666,1.48191,0.58984,1.18713,0.00835,0.00835,0.00835
52,2310.92,0.88072,1.55108,0.66804,1.13921,0.90234,0.86992,0.93728,0.70009,0.90526,0.87297,0.9376,0.65254,0.92039,1.48364,0.58667,1.18746,0.008317,0.008317,0.008317
53,2353.75,0.87446,1.53659,0.65666,1.12812,0.92731,0.86209,0.94304,0.71234,0.92784,0.85589,0.94319,0.65972,0.90095,1.50395,0.58571,1.16232,0.008284,0.008284,0.008284
54,2396.42,0.88354,1.54784,0.66417,1.13695,0.90562,0.87763,0.94658,0.71123,0.90816,0.87929,0.94784,0.66157,0.8962,1.45511,0.56593,1.17184,0.008251,0.008251,0.008251
55,2439.06,0.86445,1.52763,0.64423,1.12645,0.9188,0.89482,0.94983,0.72052,0.91939,0.89939,0.95184,0.6733,0.89118,1.43021,0.54997,1.17541,0.008218,0.008218,0.008218
56,2483.82,0.85913,1.51419,0.6399,1.12587,0.92747,0.88415,0.95204,0.72364,0.93133,0.88208,0.95025,0.67745,0.86987,1.43613,0.54408,1.15605,0.008185,0.008185,0.008185
57,2527.06,0.86809,1.54165,0.64841,1.13053,0.93134,0.87533,0.94871,0.72808,0.93848,0.87195,0.94905,0.67926,0.86249,1.41375,0.53902,1.15301,0.008152,0.008152,0.008152
58,2572.6,0.86089,1.51531,0.64337,1.13008,0.92007,0.87734,0.94684,0.72422,0.92052,0.87551,0.94859,0.6727,0.8794,1.42836,0.556,1.16203,0.008119,0.008119,0.008119
59,2619.13,0.86498,1.52461,0.63681,1.12384,0.93651,0.86943,0.94874,0.72073,0.93863,0.87041,0.94799,0.66834,0.87859,1.45674,0.55863,1.1561,0.008086,0.008086,0.008086
60,2664.88,0.86593,1.51977,0.64187,1.12739,0.91044,0.90909,0.95403,0.73021,0.91247,0.91112,0.95453,0.67827,0.86338,1.4153,0.53744,1.14525,0.008053,0.008053,0.008053
61,2710.98,0.84378,1.4981,0.61636,1.1136,0.91642,0.89701,0.95038,0.72207,0.91889,0.89228,0.94927,0.67361,0.86397,1.44251,0.5389,1.1427,0.00802,0.00802,0.00802
62,2757.46,0.85131,1.50699,0.62383,1.11883,0.92245,0.90396,0.95939,0.74034,0.92408,0.90298,0.95841,0.69038,0.85097,1.38983,0.5065,1.12691,0.007987,0.007987,0.007987
63,2804.09,0.83508,1.48937,0.61459,1.10605,0.91354,0.89124,0.95165,0.73751,0.91667,0.89429,0.9535,0.68699,0.82953,1.38088,0.52739,1.11927,0.007954,0.007954,0.007954
64,2850.23,0.84265,1.49274,0.62385,1.10962,0.93373,0.89736,0.95936,0.74271,0.93551,0.8999,0.96132,0.69201,0.84033,1.3758,0.50501,1.13347,0.007921,0.007921,0.007921
65,2896.75,0.83671,1.47992,0.60493,1.10124,0.92255,0.90786,0.96004,0.74857,0.92779,0.90955,0.96261,0.69312,0.83445,1.37133,0.50385,1.1168,0.007888,0.007888,0.007888
66,2940.6,0.82089,1.46322,0.59214,1.09889,0.9371,0.8938,0.95491,0.74014,0.93597,0.89875,0.95761,0.69084,0.83592,1.35883,0.50744,1.12788,0.007855,0.007855,0.007855
67,2984.12,0.82001,1.45639,0.59333,1.10147,0.93554,0.89979,0.96116,0.74745,0.93914,0.90166,0.96404,0.69339,0.82567,1.3627,0.50099,1.12361,0.007822,0.007822,0.007822
68,3027.21,0.81928,1.45635,0.5973,1.10167,0.93805,0.906,0.96153,0.75154,0.94232,0.906,0.95965,0.69779,0.80838,1.36474,0.48586,1.10786,0.007789,0.007789,0.007789
69,3072.35,0.80903,1.45121,0.59302,1.09026,0.94561,0.8999,0.96382,0.75475,0.94966,0.90346,0.96549,0.70144,0.8042,1.35095,0.48408,1.10501,0.007756,0.007756,0.007756
70,3116.88,0.81413,1.43868,0.59346,1.0877,0.92982,0.89736,0.96156,0.75174,0.93278,0.90254,0.96372,0.69621,0.82181,1.35651,0.49354,1.12214,0.007723,0.007723,0.007723
