epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1284.32,0.97245,1.67196,0.77046,1.19513,0.89462,0.82622,0.90684,0.64622,0.89994,0.83486,0.91503,0.60272,1.01912,1.65146,0.67487,1.27124,0.009043,0.009043,0.009043
31,1327.04,0.95494,1.66756,0.75183,1.19101,0.88179,0.82266,0.90872,0.65598,0.88406,0.82912,0.90829,0.60916,1.00202,1.64443,0.69024,1.24907,0.00901,0.00901,0.00901
32,1369.76,0.95581,1.65768,0.75006,1.18906,0.89822,0.83181,0.91183,0.64682,0.90713,0.83587,0.91649,0.61101,1.03167,1.66001,0.67811,1.27283,0.008977,0.008977,0.008977
33,1412.27,0.94829,1.65166,0.73809,1.17829,0.91229,0.8313,0.91971,0.67454,0.92222,0.83892,0.92435,0.62788,0.98045,1.57847,0.65376,1.22544,0.008944,0.008944,0.008944
34,1454.45,0.94044,1.63905,0.73571,1.17235,0.88871,0.86022,0.92755,0.68115,0.89218,0.86535,0.9304,0.6353,0.96658,1.55852,0.6404,1.21707,0.008911,0.008911,0.008911
35,1496.87,0.92833,1.61956,0.7304,1.17174,0.86997,0.82978,0.90553,0.65482,0.88454,0.83028,0.90977,0.61005,1.00442,1.65404,0.68556,1.25504,0.008878,0.008878,0.008878
36,1539.44,0.92872,1.61242,0.72872,1.1671,0.91217,0.84197,0.92719,0.67419,0.90456,0.85239,0.92578,0.63162,0.97526,1.54879,0.63467,1.23012,0.008845,0.008845,0.008845
37,1581.46,0.91614,1.60656,0.71146,1.16363,0.91083,0.84085,0.92626,0.68715,0.91263,0.84396,0.92634,0.63843,0.94544,1.55059,0.61758,1.21499,0.008812,0.008812,0.008812
38,1623.97,0.91966,1.58167,0.69631,1.1583,0.88134,0.83943,0.91802,0.67176,0.88738,0.84654,0.92391,0.63029,0.96685,1.5594,0.67595,1.21925,0.008779,0.008779,0.008779
39,1666.31,0.90317,1.59094,0.69757,1.15014,0.89699,0.86789,0.9374,0.69858,0.90573,0.8628,0.9373,0.64887,0.93808,1.51191,0.60142,1.20354,0.008746,0.008746,0.008746
40,1708.85,0.89366,1.5673,0.68291,1.14889,0.90749,0.86992,0.94427,0.70775,0.91506,0.87033,0.94393,0.65766,0.93322,1.50231,0.5801,1.19376,0.008713,0.008713,0.008713
41,1751.35,0.89667,1.55355,0.67311,1.14678,0.91825,0.86183,0.93789,0.70051,0.92104,0.86585,0.93882,0.65633,0.93061,1.47677,0.58498,1.18039,0.00868,0.00868,0.00868
42,1794,0.89379,1.55793,0.67601,1.14416,0.91495,0.85279,0.9416,0.70613,0.91646,0.86128,0.94339,0.65753,0.92404,1.48536,0.60398,1.19169,0.008647,0.008647,0.008647
43,1836.39,0.89114,1.56135,0.67539,1.14637,0.92006,0.86941,0.94882,0.70718,0.92603,0.86535,0.94695,0.66468,0.92984,1.4636,0.5708,1.18983,0.008614,0.008614,0.008614
44,1878.95,0.87546,1.53744,0.66391,1.13125,0.91708,0.85976,0.9424,0.70726,0.91762,0.86026,0.94199,0.65921,0.90487,1.50477,0.57265,1.1804,0.008581,0.008581,0.008581
45,1921.51,0.86565,1.53307,0.65366,1.12755,0.91621,0.87229,0.9429,0.70959,0.92663,0.86789,0.94235,0.655,0.91312,1.51039,0.57776,1.18337,0.008548,0.008548,0.008548
46,1963.96,0.86188,1.52246,0.64389,1.12885,0.91176,0.8877,0.94539,0.70997,0.92155,0.88339,0.94656,0.65645,0.90123,1.49563,0.56805,1.16618,0.008515,0.008515,0.008515
47,2007.22,0.85898,1.51201,0.63783,1.11725,0.92927,0.88516,0.94808,0.71377,0.93043,0.8877,0.95003,0.66845,0.9065,1.45346,0.54853,1.18035,0.008482,0.008482,0.008482
48,2049.65,0.85482,1.5058,0.63333,1.12309,0.92592,0.88059,0.9513,0.72738,0.92806,0.88262,0.95211,0.67554,0.88148,1.45895,0.53848,1.15609,0.008449,0.008449,0.008449
49,2092.23,0.85002,1.49625,0.6339,1.11561,0.92714,0.88516,0.9546,0.72944,0.9332,0.88567,0.95472,0.67622,0.87578,1.42652,0.54105,1.14991,0.008416,0.008416,0.008416
